id,Z-0_MA_AA,Z-1_MA_AA,Z-2_MA_AA,Z-3_MA_AA,I-0_MA_AA,I-1_MA_AA,I-2_MA_AA,I-3_MA_AA,T-0_MA_AA,T-1_MA_AA,T-2_MA_AA,T-3_MA_AA,S-0_MA_AA,S-1_MA_AA,S-2_MA_AA,S-3_MA_AA,chi-0_MA_AA,chi-1_MA_AA,chi-2_MA_AA,chi-3_MA_AA,qnat-0_MA_AA,qnat-1_MA_AA,qnat-2_MA_AA,qnat-3_MA_AA,Vnat-0_MA_AA,Vnat-1_MA_AA,Vnat-2_MA_AA,Vnat-3_MA_AA,Ns-0_MA_AA,Ns-1_MA_AA,Ns-2_MA_AA,Ns-3_MA_AA,Np-0_MA_AA,Np-1_MA_AA,Np-2_MA_AA,Np-3_MA_AA,Nd-0_MA_AA,Nd-1_MA_AA,Nd-2_MA_AA,Nd-3_MA_AA,Nlp-0_MA_AA,Nlp-1_MA_AA,Nlp-2_MA_AA,Nlp-3_MA_AA,LPde-0_MA_AA,LPde-1_MA_AA,LPde-2_MA_AA,LPde-3_MA_AA,LPe-0_MA_AA,LPe-1_MA_AA,LPe-2_MA_AA,LPe-3_MA_AA,LPocc-0_MA_AA,LPocc-1_MA_AA,LPocc-2_MA_AA,LPocc-3_MA_AA,LPs-0_MA_AA,LPs-1_MA_AA,LPs-2_MA_AA,LPs-3_MA_AA,LPp-0_MA_AA,LPp-1_MA_AA,LPp-2_MA_AA,LPp-3_MA_AA,LPd-0_MA_AA,LPd-1_MA_AA,LPd-2_MA_AA,LPd-3_MA_AA,Nlv-0_MA_AA,Nlv-1_MA_AA,Nlv-2_MA_AA,Nlv-3_MA_AA,LVde-0_MA_AA,LVde-1_MA_AA,LVde-2_MA_AA,LVde-3_MA_AA,LVe-0_MA_AA,LVe-1_MA_AA,LVe-2_MA_AA,LVe-3_MA_AA,LVocc-0_MA_AA,LVocc-1_MA_AA,LVocc-2_MA_AA,LVocc-3_MA_AA,LVs-0_MA_AA,LVs-1_MA_AA,LVs-2_MA_AA,LVs-3_MA_AA,LVp-0_MA_AA,LVp-1_MA_AA,LVp-2_MA_AA,LVp-3_MA_AA,LVd-0_MA_AA,LVd-1_MA_AA,LVd-2_MA_AA,LVd-3_MA_AA,target_distance,target_barrier,target_angle
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_bromide_1_smi1_1_s_1,5929.0,8239.0,3311.0,1463.0,1.0,4.0,7.0,19.0,16.0,44.0,104.0,76.0,1.988,6.077,7.177,8.305,4.84,21.714,40.348,91.96,0.092544,-0.598561,2.022412,-1.516396,85.89119,175.11738,329.623006,129.38298,0.562,4.342,6.495,10.485,0.0,0.132,0.27,0.0,72.932,0.427,0.085,0.0,9.0,15.0,3.0,0.0,0.002601,0.018653,0.0,0.0,0.024068,0.03764,0.043276,0.0,3.923727,6.466967,3.332129,0.0,0.002725,0.006802,0.018526,0.0,0.0,0.0,0.0,0.0,0.898325,0.000758,0.001043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8342,6.4,23.1801
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_chloride_1_smi1_1_s_1,5929.0,6853.0,3311.0,1463.0,1.0,4.0,7.0,19.0,16.0,44.0,104.0,76.0,1.988,5.823,7.177,8.305,4.84,22.154,40.348,91.96,0.082944,-0.566453,1.916482,-1.432964,85.513852,174.729796,328.951884,129.130737,0.562,4.335,6.495,10.485,0.0,0.132,0.27,0.0,72.59,0.426,0.085,0.0,9.0,15.0,3.0,0.0,0.002785,0.020443,0.0,0.0,0.02281,0.037218,0.041627,0.0,3.923767,6.453451,3.338941,0.0,0.002916,0.007015,0.01924,0.0,0.0,0.0,0.0,0.0,0.894916,0.000851,0.001041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8875,7.9,27.4139
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,5929.0,6006.0,3773.0,1540.0,1.0,4.0,8.0,20.0,16.0,48.0,112.0,80.0,1.988,5.414,8.206,8.742,4.84,20.812,45.958,96.8,0.099471,-0.66359,2.204636,-1.640514,86.237596,146.190074,370.545152,136.940428,0.533,3.745,7.059,10.768,0.0,0.107,0.303,0.0,73.616,0.429,0.086,0.0,9.0,6.0,3.0,0.0,0.012839,0.0,0.0,0.0,0.006384,0.014043,0.021944,0.0,3.917114,5.514205,3.271528,0.0,0.002304,0.03167,0.016027,0.0,0.0,0.000134,6.6e-05,0.0,0.906304,0.000571,0.001047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9409,5.4,30.2459
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,5929.0,6006.0,3850.0,1463.0,1.0,4.0,8.0,19.0,16.0,48.0,108.0,76.0,1.988,5.414,8.178,8.305,4.84,20.812,47.036,91.96,0.121271,-0.835954,2.459146,-1.744456,86.891108,143.749985,381.81177,129.93248,0.548,3.781,7.578,10.308,0.0,0.104,0.308,0.0,73.96,0.43,0.172,0.0,16.0,8.0,4.0,0.0,0.011059,0.0,0.0,0.0,0.009811,0.020519,0.025048,0.0,3.917866,5.517585,3.893045,0.0,0.00245,0.033838,0.024908,0.0,0.0,0.000132,5e-05,0.0,0.90345,0.000665,0.00057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8397,3.2,23.6069
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,5929.0,6083.0,3773.0,2079.0,1.0,4.0,8.0,20.0,16.0,48.0,112.0,80.0,1.988,5.386,8.206,9.235,4.84,21.89,45.958,99.528,0.047742,-0.370309,1.291468,-0.968901,84.325469,157.553323,356.248932,188.265407,0.533,3.869,6.818,11.432,0.0,0.12,0.295,0.048,71.741,0.424,0.169,0.085,9.0,6.0,3.0,9.0,0.006198,0.0,0.0,0.02109,0.015765,0.043479,0.034789,0.024911,3.920519,5.907321,3.338469,3.267168,0.002873,0.033966,0.018921,0.0,0.0,0.000137,6.5e-05,0.0001,0.895484,0.000662,0.001041,0.001325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9437,11.5,30.2418
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,5929.0,6083.0,3773.0,2695.0,1.0,4.0,8.0,20.0,16.0,48.0,112.0,80.0,1.988,5.386,8.206,9.785,4.84,21.89,45.958,97.636,0.052514,-0.424633,1.487954,-1.11584,84.550784,156.271023,362.159258,184.36478,0.533,3.847,6.972,11.446,0.0,0.118,0.299,0.044,71.91,0.424,0.17,0.17,9.0,6.0,3.0,9.0,0.006902,0.0,0.0,0.023129,0.015972,0.044764,0.035755,0.019335,3.918816,5.934009,3.311534,3.214989,0.002884,0.030281,0.018768,0.0,0.0,0.000144,6.5e-05,0.0001,0.895294,0.000757,0.001041,0.001892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9493,10.3,30.5722
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,5929.0,7315.0,3311.0,1463.0,1.0,6.0,7.0,19.0,36.0,102.0,156.0,114.0,1.988,7.247,7.177,8.305,4.84,37.026,40.348,91.96,0.07098,-0.500033,1.763738,-1.334684,85.212653,266.660688,328.074905,128.629514,0.562,6.533,6.48,10.44,0.0,0.204,0.27,0.0,72.25,0.68,0.085,0.0,9.0,21.0,3.0,0.0,0.005054,0.04772,0.0,0.0,0.018564,0.108819,0.03942,0.0,3.926501,13.381994,3.256641,0.0,0.003204,0.034435,0.018842,0.0,0.0,0.000339,6.7e-05,0.0,0.889815,0.002075,0.001038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8393,2.9,23.2487
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,5929.0,6160.0,3388.0,1463.0,1.0,4.0,8.0,19.0,16.0,48.0,108.0,76.0,1.988,5.316,7.614,8.305,4.84,22.77,45.188,91.96,0.029822,-0.254357,1.078782,-0.854247,70.568568,154.418763,303.720523,117.567826,0.533,4.132,6.738,10.22,0.001,0.385,0.809,0.0,70.728,0.42,0.084,0.0,9.0,12.0,3.0,0.0,0.00308,0.013171,0.0,0.0,0.018463,0.028504,0.035394,0.0,3.926104,6.263906,3.414001,0.0,0.003295,0.007422,0.020911,0.0,0.0,0.0,0.0,0.0,0.888495,0.001037,0.001037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626,13.0,30.9703
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_fluoride_1_smi1_1_s_1,5929.0,6237.0,3311.0,1463.0,1.0,4.0,7.0,19.0,16.0,44.0,104.0,76.0,1.988,5.189,7.177,8.305,4.84,23.958,40.348,91.96,0.0251,-0.296579,1.058566,-0.787085,82.955846,172.985337,324.232587,127.240448,0.548,4.277,6.416,10.353,0.0,0.266,0.54,0.0,70.56,0.42,0.084,0.0,9.0,15.0,3.0,0.0,0.002802,0.03151,0.0,0.0,0.020136,0.037037,0.037545,0.0,3.928126,6.480362,3.375241,0.0,0.003807,0.008015,0.022385,0.0,0.0,0.000187,6.4e-05,0.0,0.880219,0.000844,0.001032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.981,14.4,31.7894
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-iacn_1_bromide_1_smi1_1_s_1,5929.0,8239.0,3311.0,1848.0,1.0,4.0,7.0,19.0,16.0,44.0,104.0,88.0,1.988,6.077,7.177,8.897,4.84,21.714,40.348,92.73,0.107466,-0.651237,2.11479,-1.348612,86.32584,175.443955,328.632399,165.622538,0.548,4.27,6.29,10.708,0.0,0.132,0.269,0.034,73.445,0.428,0.086,0.0,16.0,20.0,0.0,0.0,0.00255,0.018471,0.0,0.0,0.021996,0.034432,0.0,0.0,3.921509,6.435157,0.0,0.0,0.002788,0.007038,0.0,0.0,0.0,0.0,0.0,0.0,0.897188,0.000758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8434,6.9,24.0681
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,5929.0,6853.0,3311.0,1848.0,1.0,4.0,7.0,19.0,16.0,44.0,104.0,88.0,1.988,5.823,7.177,8.897,4.84,22.154,40.348,92.73,0.095908,-0.615069,2.000269,-1.272126,85.907873,175.011762,327.903612,165.22416,0.548,4.262,6.29,10.708,0.0,0.132,0.269,0.034,72.932,0.427,0.085,0.0,16.0,20.0,0.0,0.0,0.002734,0.020276,0.0,0.0,0.020846,0.034095,0.0,0.0,3.92143,6.457549,0.0,0.0,0.002981,0.007245,0.0,0.0,0.0,0.0,0.0,0.0,0.893781,0.000756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932,8.4,27.6909
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,5929.0,6006.0,3773.0,1925.0,1.0,4.0,8.0,20.0,16.0,48.0,112.0,92.0,1.988,5.414,8.206,9.334,4.84,20.812,45.958,97.57,0.125415,-0.7577,2.40766,-1.530136,86.951895,146.541656,370.305152,173.64941,0.518,3.665,6.826,11.002,0.0,0.107,0.303,0.034,74.304,0.431,0.0,0.0,16.0,8.0,0.0,0.0,0.011586,0.0,0.0,0.0,0.005838,0.01225,0.0,0.0,3.915056,5.488201,0.0,0.0,0.00243,0.032686,0.0,0.0,0.0,0.000134,0.0,0.0,0.90364,0.00057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9571,6.5,31.0379
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,5929.0,6006.0,3850.0,1848.0,1.0,4.0,8.0,19.0,16.0,48.0,108.0,88.0,1.988,5.414,8.178,8.897,4.84,20.812,47.036,92.73,0.157284,-0.966105,2.72236,-1.632864,87.79184,144.245307,381.960604,167.027056,0.548,3.767,7.43,10.678,0.0,0.104,0.308,0.034,74.822,0.432,0.086,0.0,16.0,8.0,4.0,0.0,0.009892,0.0,0.0,0.0,0.008744,0.017547,0.022695,0.0,3.916124,5.484893,3.889904,0.0,0.002611,0.035152,0.025668,0.0,0.0,0.000131,5e-05,0.0,0.900221,0.000569,0.000569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9235,4.8,29.4137
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,5929.0,6083.0,3773.0,2464.0,1.0,4.0,8.0,20.0,16.0,48.0,112.0,92.0,1.988,5.386,8.206,9.828,4.84,21.89,45.958,100.298,0.058018,-0.414424,1.37748,-0.858282,84.724845,157.745753,355.332647,224.292782,0.518,3.802,6.61,11.657,0.0,0.119,0.295,0.082,72.25,0.425,0.17,0.085,16.0,8.0,0.0,12.0,0.005999,0.0,0.0,0.020772,0.014431,0.040402,0.0,0.023203,3.918579,5.901662,0.0,3.268636,0.002938,0.034433,0.0,0.0,0.0,0.000136,0.0,0.0001,0.894348,0.000662,0.0,0.001324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9448,12.1,30.2523
